Degree,Core
C10026,STM90273
C10226,STM90850
C10235,STM90285
C10340,STM90842
C10340,STM90843
C10340,STM90844
C10340,STM90845
C10340,STM90846
C10340,STM90847
C10342,STM90928
C10348,STM91017
C10348,STM91018
C09070,STM90272
C09070,STM90108
C09070,STM90994
C09071,STM90272
C09071,STM90108
C09071,STM90993
C09084,STM90273
C09084,STM91052
C09120,STM91017
C09120,STM91052
C09133,STM90273
C09153,STM90928
C10020,STM90273
C10125,STM90273
C10125,STM90691
C10162,STM90273
C10163,STM90273
C10163,STM91714
C10169,STM90273
C10169,STM91711
C10219,STM90273
C10219,STM90651
C10278,STM90273
C10278,STM91376
C10278,STM91375
C10326,STM90273
C10326,STM90839
C10343,STM90928
C10355,STM90928
C10355,STM90839
C10386,STM91017
C10386,STM90691
C10411,STM91519
C10411,STM90273
C10412,STM91519
C10412,STM90928
C10416,STM90273
C10432,STM90928
C10432,STM90929
C10445,STM91017
C10445,STM91520
C10449,STM90273
C10449,STM91579
C10450,STM91017
C10450,STM91579
C10450,STM91705
C10276,STM91648
C10361,STM91104
C10362,STM91104
C10363,STM91104
C10364,STM91104
C10369,STM91104
C10371,STM91104
C10451,STM91104
C10460,STM91638
C10460,STM91639
C10460,STM91640
C10460,STM91641
C09130,STM91642
C09089,STM91104
C09089,STM90691
C09091,STM91104
C09091,STM90691
C09093,STM91104
C09093,STM90691
C09094,STM91104
C09094,STM90691
C09095,STM91104
C09095,STM90691
C09096,STM91104
C09096,STM90691
C09132,STM91638
C09132,STM91639
C09132,STM91640
C09132,STM91641
C09134,STM91104
C09135,STM91104
C09136,STM91104
C09137,STM91104
C09138,STM91104
C09139,STM91104
C09140,STM91104
C09157,STM91648
C10277,STM91648
C10359,STM91104
C10359,STM90839
C10365,STM91104
C10366,STM91104
C10367,STM91104
C10368,STM91104
C10370,STM91104
C10372,STM91104
C10373,STM91104
C10373,STM90839
C10374,STM91104
C10374,STM90839
C10375,STM91104
C10375,STM90839
C10376,STM91104
C10376,STM90839
C10377,STM91104
C10377,STM90839
C10378,STM91104
C10378,STM90691
C10379,STM91104
C10379,STM90691
C10380,STM91104
C10380,STM90691
C10381,STM91104
C10381,STM90691
C10382,STM91104
C10382,STM90691
C10383,STM91104
C10383,STM90691
C10405,STM91104
C10405,STM91579
C10425,STM91009
C10425,STM90959
C10434,STM91104
C10435,STM91104
C10436,STM91104
C10437,STM91104
C10438,STM91104
C10439,STM91104
C10452,STM91104
C10454,STM91104
C10454,STM90839
C10455,STM91104
C10455,STM90691
C10456,STM91104
C10456,STM90691
C10461,STM91638
C10461,STM91639
C10461,STM90839
C10461,STM91640
C10461,STM91641
C10462,STM91638
C10462,STM91639
C10462,STM91640
C10462,STM91641
C10465,STM91672
C10465,STM90839
C20060,STM91177
C20060,STM91176
C09076,STM90106
C09076,STM90994
C09076,STM90839
C09098,STM91052
C09098,STM90839
C10321,STM91426
C10321,STM91424
C10321,STM90839
C10322,STM91203
C10322,STM90839
C10323,STM91425
C10323,STM91424
C10323,STM90839
C10324,STM91427
C10324,STM91424
C10324,STM90839
C10325,STM91342
C10325,STM90839
C10327,STM90651
C10327,STM90839
C10328,STM90825
C10328,STM90839
C10329,STM90744
C10329,STM90745
C10329,STM90746
C10329,STM90839
C10330,STM90839
C10330,STM90694
C10330,STM90697
C10338,STM90691
C10338,STM90839
C10351,STM91471
C10351,STM90839
C10352,STM91299
C10352,STM90839
C10389,STM91180
C10389,STM90839
C09079,STM91202
C10004,STM91342
C10214,STM90373
C10271,STM91203
C10304,STM91425
C10304,STM91424
C10306,STM91426
C10306,STM91424
C10308,STM91427
C10308,STM91424
C10310,STM90820
C09055,STM90725
C09063,STM91298
C09131,STM91643
C09141,STM90373
C09143,STM91426
C09143,STM91424
C09144,STM91203
C09145,STM91425
C09145,STM91424
C09146,STM91427
C09146,STM91424
C09159,STM90820
C10215,STM90373
C10272,STM91203
C10305,STM91425
C10305,STM91424
C10307,STM91426
C10307,STM91424
C10309,STM91427
C10309,STM91424
C10320,STM90820
C10413,STM91342
C10413,STM90794
C10420,STM90373
C10423,STM91203
C10428,STM91425
C10428,STM91424
C10429,STM91426
C10429,STM91424
C10430,STM91427
C10430,STM91424
C10431,STM90820
C10404,STM91579
C10406,STM91579
C10406,STM90356
C10444,STM91340
C10444,STM91258
C10444,STM91259
C10444,STM91260
C10444,STM91263
C09066,STM90848
C09066,STM90849
C09066,STM91414
C09066,STM90106
C09066,STM90994
C09067,STM90848
C09067,STM90849
C09067,STM91414
C09067,STM90106
C09067,STM90993
C10066,STM90356
C09072,STM90106
C09072,STM90994
C09073,STM90106
C09073,STM90993
C09074,STM90106
C09074,STM90994
C09075,STM90106
C09075,STM90993
C09087,STM91052
C09087,STM90356
C09123,STM90107
C09123,STM90994
C09124,STM90107
C09124,STM90993
C09127,STM90107
C09127,STM90994
C09128,STM90107
C09128,STM90993
C09147,STM90107
C09147,STM90994
C09148,STM90107
C09148,STM90993
C10136,STM90356
C10136,STM90691
C10122,STM91472
C10122,STM91471
C10225,STM90744
C10225,STM90745
C10225,STM90746
C10300,STM90825
C10301,STM90829
C09163,STM90829
C09164,STM90825
C10302,STM90825
C10303,STM90829
C10410,STM91520
C10410,STM91460
C10410,STM91523
C10417,STM91471
C10426,STM90825
C10427,STM90829
C09119,STM91173
C09119,STM91172
C10143,STM90651
C10143,STM91312
C10143,STM91313
C10148,STM90651
C10229,STM90651
C10229,STM91303
C10345,STM90990
C10345,STM90651
C10395,STM91373
C10395,STM91374
C10395,STM91375
C20056,STM90990
C09088,STM91052
C09088,STM90651
C09162,STM90651
C10239,STM90651
C10245,STM90691
C10245,STM90651
C10421,STM90651
C10446,STM91629
C09097,STM91052
C09126,STM91052
C09142,STM91629
C09149,STM91180
C09151,STM91052
C09152,STM90691
C09155,STM91631
C09156,STM90680
C10129,STM90691
C10167,STM90680
C10243,STM90694
C10243,STM90697
C10388,STM91180
C10399,STM91519
C10399,STM91521
C10418,STM90691
C10419,STM90680
C10422,STM90694
C10422,STM90697
C10442,STM91180
C10447,STM91629
C10448,STM91629
C10448,STM91630
C10458,STM91631
C09083,STM90832
C10124,STM90832
C09085,STM91052
C09086,STM91052
C09086,STM91714
C09121,STM91181
C09121,STM91052
C10126,STM90691
C10131,STM90691
C10131,STM91714
C10391,STM91181
C10391,STM90691
C10184,STM90680
C10223,STM91002
C10223,STM91514
C10228,STM91002
C10228,STM91568
C10242,STM90694
C10242,STM90697
C10347,STM91299
C10387,STM91180
C10457,STM91631
C09077,STM91598
C09100,STM91704
C09129,STM91632
